date,location,population,new_cases,total_cases,new_deaths,total_deaths,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,stringency_index,reproduction_rate,icu_patients,hosp_patients,new_cases_7d_avg,new_deaths_7d_avg,row_coverage,new_cases_per_100k,new_deaths_per_100k,total_cases_per_100k,total_deaths_per_100k,new_vaccinations_per_100k,icu_patients_per_100k,hosp_patients_per_100k,total_cases_pct_population,total_deaths_pct_population,people_vaccinated_pct_population,people_fully_vaccinated_pct_population,total_boosters_pct_population,new_cases_7d_avg_per_100k,new_deaths_7d_avg_per_100k,population_for_sir,incidence_for_sir,I_estimated,cumulative_infections_estimated,R_estimated,S_estimated
2020-11-14,France,67813000,0.0,1643952.0,0.0,33509.0,,,,,78.7,0.82,4855.0,32468.0,43302.28571428572,684.8571428571429,0.8888888888888888,0.0,0.0,2424.2431392210933,49.413829206789266,,7.159394216448173,47.87872531815434,2.424243139221093,0.049413829206789266,,,,63.855434377310715,1.00992013752104,67813000.0,43302.28571428572,635621.0,1643952.0,1008331.0,66169048.0
2020-11-15,France,67813000,176429.0,1820381.0,5487.0,38996.0,,,,,78.7,0.8,4880.0,33050.0,25204.14285714286,783.8571428571429,0.8888888888888888,260.1698789317682,8.09136891156563,2684.4130181528617,57.50519811835488,,7.196260304071491,48.73696783802516,2.6844130181528616,0.05750519811835488,,,,37.16712556168118,1.1559098445093756,67813000.0,25204.14285714286,613324.4285714286,1669156.142857143,1055831.7142857143,66143843.85714285
2020-11-16,France,67813000,0.0,1820381.0,0.0,38996.0,,,,,78.7,0.79,4903.0,33466.0,25204.14285714286,783.8571428571429,0.8888888888888888,0.0,0.0,2684.4130181528617,57.50519811835488,,7.230177104684943,49.35041953607716,2.6844130181528616,0.05750519811835488,,,,37.16712556168118,1.1559098445093756,67813000.0,25204.14285714286,591027.8571428572,1694360.285714286,1103332.4285714286,66118639.714285724
2020-11-17,France,67813000,0.0,1820381.0,0.0,38996.0,,,,,78.7,0.78,4838.0,33139.0,25204.14285714286,783.8571428571429,0.8888888888888888,0.0,0.0,2684.4130181528617,57.50519811835488,,7.134325276864319,48.86821110996417,2.6844130181528616,0.05750519811835488,,,,37.16712556168118,1.1559098445093756,67813000.0,25204.14285714286,568731.2857142858,1719564.4285714289,1150833.1428571432,66093435.571428575
2020-11-18,France,67813000,0.0,1820381.0,0.0,38996.0,,,,,78.7,0.75,4759.0,32811.0,25204.14285714286,783.8571428571429,0.8888888888888888,0.0,0.0,2684.4130181528617,57.50519811835488,,7.017828439974637,48.38452804034625,2.6844130181528616,0.05750519811835488,,,,37.16712556168118,1.1559098445093756,67813000.0,25204.14285714286,546434.7142857143,1744768.5714285718,1198333.8571428575,66068231.428571425
2020-11-19,France,67813000,0.0,1820381.0,0.0,38996.0,,,,,78.7,0.72,4637.0,32314.0,25204.14285714286,783.8571428571429,0.8888888888888888,0.0,0.0,2684.4130181528617,57.50519811835488,,6.83792193237285,47.65163021839471,2.6844130181528616,0.05750519811835488,,,,37.16712556168118,1.1559098445093756,67813000.0,25204.14285714286,524138.14285714284,1769972.7142857148,1245834.5714285718,66043027.285714276
2020-11-20,France,67813000,0.0,1820381.0,0.0,38996.0,,,,,78.7,0.7,4566.0,31875.0,25204.14285714286,783.8571428571429,0.8888888888888888,0.0,0.0,2684.4130181528617,57.50519811835488,,6.733222243522628,47.00426171972926,2.6844130181528616,0.05750519811835488,,,,37.16712556168118,1.1559098445093756,67813000.0,25204.14285714286,501841.5714285715,1795176.8571428577,1293335.2857142864,66017823.14285715
2020-11-21,France,67813000,0.0,1820381.0,0.0,38996.0,,,,,78.7,0.69,4493.0,31365.0,25204.14285714286,783.8571428571429,0.8888888888888888,0.0,0.0,2684.4130181528617,57.50519811835488,,6.625573267662542,46.25219353221358,2.6844130181528616,0.05750519811835488,,,,37.16712556168118,1.1559098445093756,67813000.0,25204.14285714286,479545.00000000006,1820381.0000000007,1340836.0000000007,65992619.0
2020-11-22,France,67813000,114947.0,1935328.0,5602.0,44598.0,,,,,78.7,0.68,4491.0,31522.0,16421.0,800.2857142857143,0.8888888888888888,169.50584696149704,8.260952914632888,2853.9188651143586,65.76615103298778,,6.622623980652676,46.483712562488016,2.8539188651143585,0.06576615103298777,,,,24.21512099449958,1.1801361306618412,67813000.0,16421.0,452663.7142857143,1836802.0000000007,1384138.2857142864,65976198.0
2020-11-23,France,67813000,0.0,1935328.0,0.0,44598.0,,,,,78.7,0.67,4438.0,31449.0,16421.0,800.2857142857143,0.8888888888888888,0.0,0.0,2853.9188651143586,65.76615103298778,,6.544467874891246,46.376063586627936,2.8539188651143585,0.06576615103298777,,,,24.21512099449958,1.1801361306618412,67813000.0,16421.0,425782.4285714286,1853223.0000000007,1427440.571428572,65959776.99999999
2020-11-24,France,67813000,0.0,1935328.0,0.0,44598.0,,,,,78.7,0.66,4277.0,30594.0,16421.0,800.2857142857143,0.8888888888888888,0.0,0.0,2853.9188651143586,65.76615103298778,,6.307050270597084,45.11524338991049,2.8539188651143585,0.06576615103298777,,,,24.21512099449958,1.1801361306618412,67813000.0,16421.0,398901.1428571429,1869644.0000000007,1470742.8571428577,65943355.99999999
2020-11-25,France,67813000,0.0,1935328.0,0.0,44598.0,,,,,78.7,0.66,4136.0,29944.0,16421.0,800.2857142857143,0.8888888888888888,0.0,0.0,2853.9188651143586,65.76615103298778,,6.099125536401575,44.15672511170425,2.8539188651143585,0.06576615103298777,,,,24.21512099449958,1.1801361306618412,67813000.0,16421.0,372019.85714285716,1886065.0000000007,1514045.1428571437,65926935.00000001
2020-11-26,France,67813000,0.0,1935328.0,0.0,44598.0,,,,,78.7,0.66,4006.0,29282.0,16421.0,800.2857142857143,0.8888888888888888,0.0,0.0,2853.9188651143586,65.76615103298778,,5.907421880760326,43.18051111143881,2.8539188651143585,0.06576615103298777,,,,24.21512099449958,1.1801361306618412,67813000.0,16421.0,345138.5714285715,1902486.0000000007,1557347.428571429,65910514.0
2020-11-27,France,67813000,0.0,1935328.0,0.0,44598.0,,,,,78.7,0.68,3871.0,28620.0,16421.0,800.2857142857143,0.8888888888888888,0.0,0.0,2853.9188651143586,65.76615103298778,,5.708345007594414,42.204297111173375,2.8539188651143585,0.06576615103298777,,,,24.21512099449958,1.1801361306618412,67813000.0,16421.0,318257.28571428574,1918907.0000000007,1600649.714285715,65894093.0
2020-11-28,France,67813000,0.0,1935328.0,0.0,44598.0,,,,,75.0,0.69,3765.0,28139.0,16421.0,800.2857142857143,0.8888888888888888,0.0,0.0,2853.9188651143586,65.76615103298778,,5.55203279607155,41.494993585300755,2.8539188651143585,0.06576615103298777,,,,24.21512099449958,1.1801361306618412,67813000.0,16421.0,291376.0,1935328.0000000007,1643952.0000000007,65877672.0
2020-11-29,France,67813000,77077.0,2012405.0,4679.0,49277.0,,,,,75.0,0.7,3744.0,28284.0,11011.0,668.4285714285714,0.8888888888888888,113.66109742969638,6.899856959580022,2967.579962544055,72.6660079925678,,5.521065282467963,41.708816893515994,2.967579962544055,0.0726660079925678,,,,16.23729963281377,0.9856938513685746,67813000.0,11011.0,277182.85714285716,1946339.0000000007,1669156.1428571437,65866661.00000001
2020-11-30,France,67813000,0.0,2012405.0,0.0,49277.0,,,,,75.0,0.72,3739.0,28229.0,11011.0,668.4285714285714,0.8888888888888888,0.0,0.0,2967.579962544055,72.6660079925678,,5.5136920649433,41.627711500744695,2.967579962544055,0.0726660079925678,,,,16.23729963281377,0.9856938513685746,67813000.0,11011.0,262989.71428571426,1957350.0000000007,1694360.2857142864,65855650.0
2020-12-01,France,67813000,0.0,2012405.0,0.0,49277.0,,,,,75.0,0.74,3594.0,27611.0,11011.0,668.4285714285714,0.8888888888888888,0.0,0.0,2967.579962544055,72.6660079925678,,5.299868756728061,40.7163818146963,2.967579962544055,0.0726660079925678,,,,16.23729963281377,0.9856938513685746,67813000.0,11011.0,248796.57142857145,1968361.0000000007,1719564.4285714293,65844639.0
2020-12-02,France,67813000,0.0,2012405.0,0.0,49277.0,,,,,75.0,0.76,3478.0,26986.0,11011.0,668.4285714285714,0.8888888888888888,0.0,0.0,2967.579962544055,72.6660079925678,,5.12881011015587,39.79472962411337,2.967579962544055,0.0726660079925678,,,,16.23729963281377,0.9856938513685746,67813000.0,11011.0,234603.42857142858,1979372.0000000007,1744768.571428572,65833627.99999999
2020-12-03,France,67813000,0.0,2012405.0,0.0,49277.0,,,,,75.0,0.78,3415.0,26675.0,11011.0,668.4285714285714,0.8888888888888888,0.0,0.0,2967.579962544055,72.6660079925678,,5.035907569345111,39.33611549407931,2.967579962544055,0.0726660079925678,,,,16.23729963281377,0.9856938513685746,67813000.0,11011.0,220410.2857142857,1990383.0000000007,1769972.714285715,65822617.0
2020-12-04,France,67813000,0.0,2012405.0,0.0,49277.0,,,,,75.0,0.81,3283.0,26283.0,11011.0,668.4285714285714,0.8888888888888888,0.0,0.0,2967.579962544055,72.6660079925678,,4.841254626693997,38.758055240145694,2.967579962544055,0.0726660079925678,,,,16.23729963281377,0.9856938513685746,67813000.0,11011.0,206217.14285714287,2001394.0000000007,1795176.8571428577,65811605.99999999
2020-12-05,France,67813000,0.0,2012405.0,0.0,49277.0,,,,,75.0,0.84,3220.0,26040.0,11011.0,668.4285714285714,0.8888888888888888,0.0,0.0,2967.579962544055,72.6660079925678,,4.748352085883238,38.39971686844705,2.967579962544055,0.0726660079925678,,,,16.23729963281377,0.9856938513685746,67813000.0,11011.0,192024.0,2012405.0000000007,1820381.0000000007,65800595.0
2020-12-06,France,67813000,71372.0,2083777.0,3963.0,53240.0,,,,,75.0,0.86,3210.0,26262.0,10196.0,566.1428571428571,0.8888888888888888,105.2482562340554,5.844012210048221,3072.82821877811,78.51002020261602,,4.733605650833911,38.72708772654211,3.07282821877811,0.07851002020261602,,,,15.035465176293632,0.8348588871497458,67813000.0,10196.0,185799.0,2022601.0000000007,1836802.0000000007,65790399.0
