date,new_cases,new_deaths,new_vaccinations,stringency_index,reproduction_rate,icu_patients,hosp_patients,new_cases_7d_avg,new_deaths_7d_avg,row_coverage,population,total_cases,total_deaths,people_vaccinated,people_fully_vaccinated,total_boosters,new_cases_per_100k,new_deaths_per_100k,total_cases_per_100k,total_deaths_per_100k,new_vaccinations_per_100k,icu_patients_per_100k,hosp_patients_per_100k,total_cases_pct_population,total_deaths_pct_population,people_vaccinated_pct_population,people_fully_vaccinated_pct_population,total_boosters_pct_population,location
2022-01-02,1140724.0,1315.0,2682670.0,43.79571428571428,1.552857142857143,3485.5714285714284,18153.14285714286,86921.71428571429,168.51020408163262,1.0,67813000,9850650.0,125480.0,53238162.0,49663640.0,22516165.0,240.30874821726135,0.2770223155694968,13084.344552561563,183.376133105536,565.1402701968228,5.1399752681217885,26.769414208400832,13.084344552561562,0.183376133105536,78.44012926303638,73.08972973997821,32.42314347649313,France
2022-01-09,1726217.0,1484.0,4565385.0,48.212857142857146,1.4714285714285715,3750.8571428571427,20993.85714285714,174909.4081632653,191.30612244897958,1.0,67813000,11576867.0,126964.0,53537252.0,50308849.0,26137508.0,363.650669593483,0.3126244230457287,14889.847711458611,185.35089142199874,961.7593339667277,5.531177123644645,30.95845507919889,14.889847711458613,0.18535089142199876,78.77564268123895,73.82878756917658,36.54934641693228,France
2022-01-16,1961912.0,1499.0,3805640.0,47.98714285714285,1.2942857142857143,3913.714285714286,24015.0,251412.5306122449,212.30612244897958,1.0,67813000,13538779.0,128463.0,53806771.0,50879164.0,29103540.0,413.30296972135557,0.3157843734134416,17485.054698740867,187.54242233368655,801.708901158859,5.771333351590824,35.41356377095837,17.485054698740864,0.18754242233368656,79.19546631387576,74.72796829937792,41.349047906954205,France
2022-01-23,2417043.0,1658.0,2472859.0,47.82,1.1685714285714286,3826.5714285714284,27610.428571428572,289561.53061224485,217.3877551020408,1.0,67813000,15955822.0,130121.0,53989356.0,51264154.0,31008986.0,509.1823944418579,0.3492798473111982,20474.054911510855,189.7864084214784,520.9407804234754,5.642828703303834,40.715539161264914,20.474054911510855,0.1897864084214784,79.51450712147481,75.39110473971489,44.737756140310225,France
2022-01-30,2329374.0,1933.0,1877562.0,44.80714285714286,1.002857142857143,3693.4285714285716,30804.571428571428,343502.69387755106,242.46938775510202,1.0,67813000,18285196.0,132054.0,54113658.0,51618907.0,32407621.0,490.7137485227232,0.4072122707192679,24019.86302668473,192.28929977606487,395.5335154869167,5.44649045378994,45.425761179377744,24.019863026684725,0.19228929977606485,79.72889816743944,75.91291450648949,47.02718694898365,France
2022-02-06,1707588.0,1996.0,1501615.0,44.62428571428571,0.8185714285714286,3656.4285714285716,32817.42857142857,320078.20408163266,277.42857142857144,1.0,67813000,19992784.0,134050.0,54201370.0,51953747.0,33486776.0,359.72622190014135,0.42048406226366203,27323.871739721206,195.1530574626441,316.33525809421286,5.39192864410743,48.394007891449384,27.323871739721206,0.1951530574626441,79.87926377369699,76.42000648843143,48.76949889507068,France
2022-02-13,958639.0,1988.0,1387214.0,44.458571428571425,0.6942857142857143,3442.285714285714,32453.428571428572,228656.46938775512,284.97959183673476,1.0,67813000,20951423.0,136038.0,54265214.0,52246263.0,34517755.0,201.95011070359456,0.4187987554008818,29684.179181825653,198.09476059162697,292.23515929309804,5.076144270693988,47.85723765565389,29.684179181825648,0.19809476059162698,79.98770168383223,76.88519436854712,50.33637355669267,France
2022-02-20,565947.0,1745.0,965154.0,34.104285714285716,0.66,3074.714285714286,29930.428571428572,128934.306122449,279.0408163265306,1.0,67813000,21517370.0,137783.0,54307808.0,52447973.0,35238714.0,119.22429538373383,0.367607559443933,31015.104141430955,200.9751606834762,203.3225824799712,4.534107450952304,44.13671209270873,31.015104141430953,0.20097516068347618,80.06265591721773,77.24082803339435,51.63056072265958,France
2022-02-27,393549.0,1331.0,528578.0,29.904285714285717,0.6928571428571428,2668.1428571428573,26424.714285714286,77331.24489795919,240.83673469387756,1.0,67813000,21910919.0,139114.0,54336983.0,52572633.0,35613571.0,82.90635381753603,0.2803929292950572,31813.35626755089,203.46119896943483,111.35201636432963,3.9345595345182445,38.96703329113044,31.81335626755089,0.20346119896943482,80.1117499594473,77.45753637629532,52.31831128039082,France
2022-03-06,348284.0,1094.0,330706.0,29.830000000000002,0.8285714285714285,2247.285714285714,23374.714285714286,55297.51020408164,185.30612244897958,1.0,67813000,22259203.0,140208.0,54359119.0,52648355.0,35846500.0,73.37067692456777,0.23046571348519354,32384.165067380673,205.37402225869036,69.66763642032396,3.3139452822994326,34.46937060108576,32.38416506738067,0.2053740222586904,80.14881744124072,77.59928964315735,52.74691936438652,France
2022-03-13,419228.0,820.0,182419.0,29.784285714285716,1.0314285714285716,1943.142857142857,21386.285714285714,51202.69387755102,150.69387755102042,1.0,67813000,22678431.0,141028.0,54374719.0,52691675.0,35970066.0,88.31597818370265,0.17274395343497137,32912.70510711178,206.92956049303652,38.42899907518785,2.86544299344205,31.537147323206046,32.91270510711178,0.20692956049303654,80.17480550505486,77.67745986336375,52.97569408309827,France
2022-03-20,586328.0,792.0,209732.0,18.830000000000002,1.1914285714285715,1713.142857142857,20676.428571428572,63299.91836734693,116.57142857142857,1.0,67813000,23264759.0,141820.0,54387404.0,52724966.0,36133858.0,123.51782528002427,0.16684537941524066,33566.11880149403,208.13286959306157,44.18284736807733,2.526274987307533,30.49036109806169,33.56611880149402,0.20813286959306157,80.19474626651865,77.73270169436539,53.19080559774675,France
2022-03-27,851993.0,727.0,245114.0,18.827142857142857,1.2357142857142858,1539.857142857143,20644.14285714286,89182.8775510204,111.81632653061224,1.0,67813000,24116752.0,142547.0,54399146.0,52751669.0,36340555.0,179.48370624258726,0.15315226115515146,34486.70945941676,209.2870941307082,51.63653829543851,2.2707403342384835,30.442751179188146,34.48670945941676,0.20928709413070817,80.21241986892527,77.77458536184591,53.4769833428483,France
2022-04-03,959358.0,801.0,258388.0,18.82,1.147142857142857,1538.142857142857,21773.285714285714,123904.40816326531,105.36734693877551,1.0,67813000,25076110.0,143348.0,54411051.0,52774992.0,36563757.0,202.10157765788693,0.16874134963586837,35765.71327453017,210.37474904727495,54.43288370750657,2.2682123739443134,32.10783435961499,35.76571327453017,0.21037474904727496,80.23012191088519,77.81166590476752,53.8011289449347,France
2022-04-10,928373.0,788.0,294644.0,18.82,1.0285714285714287,1555.0,23233.571428571428,136418.79591836737,114.16326530612244,1.0,67813000,26004483.0,144136.0,54426811.0,52796110.0,36821546.0,195.5741735149813,0.16600272598385057,37173.89691399247,211.553199871074,62.07069440962647,2.2930706501703213,34.2612352035324,37.173896913992465,0.21155319987107402,80.25346804552855,77.84366187688411,54.15904662190773,France
