date,location,population,new_cases,total_cases,new_deaths,total_deaths,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,stringency_index,reproduction_rate,icu_patients,hosp_patients,new_cases_7d_avg,new_deaths_7d_avg,row_coverage,new_cases_per_100k,new_deaths_per_100k,total_cases_per_100k,total_deaths_per_100k,new_vaccinations_per_100k,icu_patients_per_100k,hosp_patients_per_100k,total_cases_pct_population,total_deaths_pct_population,people_vaccinated_pct_population,people_fully_vaccinated_pct_population,total_boosters_pct_population
2021-03-24,France,67813000,0.0,3866278.0,0.0,96237.0,7166608.0,2625451.0,85.0,300549.0,70.37,1.19,4651.0,26876.0,26260.428571428572,257.0,1.0,0.0,0.0,5701.3817409641215,141.91526698420657,443.20263076401284,6.858566941441906,39.632518838570775,5.701381740964122,0.14191526698420656,10.568191939598602,3.8716042646690165,0.00012534469791927803
2021-03-25,France,67813000,0.0,3866278.0,0.0,96237.0,7508485.0,2670743.0,90.0,387174.0,70.37,1.18,4709.0,27036.0,26260.428571428572,257.0,1.0,0.0,0.0,5701.3817409641215,141.91526698420657,570.9436243788065,6.944096264728001,39.868461799360006,5.701381740964122,0.14191526698420656,11.072338637134473,3.938393818294427,0.0001327179154439414
2021-03-26,France,67813000,0.0,3866278.0,0.0,96237.0,7867336.0,2712532.0,96.0,400646.0,68.52,1.17,4766.0,27242.0,26260.428571428572,257.0,1.0,0.0,0.0,5701.3817409641215,141.91526698420657,590.8100216772596,7.028150944509165,40.17223836137614,5.701381740964122,0.14191526698420656,11.601515933523071,4.000017695722059,0.00014156577647353753
2021-03-27,France,67813000,0.0,3866278.0,0.0,96237.0,8062633.0,2729486.0,97.0,212252.0,68.52,1.16,4791.0,27259.0,26260.428571428572,257.0,1.0,0.0,0.0,5701.3817409641215,141.91526698420657,312.99603320897177,7.065017032132482,40.19730730095999,5.701381740964122,0.14191526698420656,11.889509386105908,4.025018801704688,0.0001430404199784702
2021-03-28,France,67813000,223964.0,4090242.0,1834.0,98071.0,8121994.0,2734073.0,100.0,63951.0,68.52,1.14,4872.0,27712.0,31994.85714285714,262.0,1.0,330.26705793874333,2.70449618804654,6031.648798902866,144.6197631722531,94.30492678394998,7.184463156032029,40.8653208086945,6.031648798902865,0.1446197631722531,11.977045699202218,4.031782991461814,0.00014746435049326823
2021-03-29,France,67813000,0.0,4090242.0,0.0,98071.0,8325022.0,2787462.0,104.0,256421.0,68.52,1.13,4974.0,28322.0,31994.85714285714,262.0,1.0,0.0,0.0,6031.648798902866,144.6197631722531,378.1295621783434,7.334876793535162,41.76485334670343,6.031648798902865,0.1446197631722531,12.27643962072169,4.110512733546665,0.000153362924512999
2021-03-30,France,67813000,0.0,4090242.0,0.0,98071.0,8610572.0,2857503.0,109.0,355596.0,68.52,1.13,5072.0,28510.0,31994.85714285714,262.0,1.0,0.0,0.0,6031.648798902866,144.6197631722531,524.3773317800421,7.479391857018565,42.04208632563078,6.031648798902865,0.1446197631722531,12.697524073555218,4.213798239275655,0.0001607361420376624
2021-03-31,France,67813000,0.0,4090242.0,0.0,98071.0,8873655.0,2931565.0,113.0,337149.0,68.52,1.12,5053.0,28463.0,31994.85714285714,262.0,1.0,0.0,0.0,6031.648798902866,144.6197631722531,497.17458304454897,7.451373630424844,41.97277808089894,6.031648798902865,0.1446197631722531,13.085477710763424,4.32301328653798,0.00016663471605739313
2021-04-01,France,67813000,0.0,4090242.0,0.0,98071.0,9189241.0,3024392.0,124.0,408424.0,68.52,1.11,5109.0,28581.0,31994.85714285714,262.0,1.0,0.0,0.0,6031.648798902866,144.6197631722531,602.279798858626,7.533953666701075,42.146786014481,6.031648798902865,0.1446197631722531,13.550854555911107,4.459900019170365,0.00018285579461165265
2021-04-02,France,67813000,0.0,4090242.0,0.0,98071.0,9470626.0,3119210.0,131.0,376210.0,68.52,1.1,5254.0,28729.0,31994.85714285714,262.0,1.0,0.0,0.0,6031.648798902866,144.6197631722531,554.7756329907245,7.747776974916314,42.36503325321104,6.031648798902865,0.1446197631722531,13.965797118546591,4.599722767021073,0.0001931782991461814
