date,location,population,new_cases,total_cases,new_deaths,total_deaths,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,stringency_index,reproduction_rate,icu_patients,hosp_patients,new_cases_7d_avg,new_deaths_7d_avg,row_coverage,new_cases_per_100k,new_deaths_per_100k,total_cases_per_100k,total_deaths_per_100k,new_vaccinations_per_100k,icu_patients_per_100k,hosp_patients_per_100k,total_cases_pct_population,total_deaths_pct_population,people_vaccinated_pct_population,people_fully_vaccinated_pct_population,total_boosters_pct_population,new_cases_7d_avg_per_100k,new_deaths_7d_avg_per_100k,population_for_sir,incidence_for_sir,I_estimated,cumulative_infections_estimated,R_estimated,S_estimated,gamma,dI_dt,denominator_SI_over_N,valid_beta_mask,beta_raw,beta_smoothed,beta_smoothed_nonnegative,R0_proxy_raw,R_eff_raw,R0_proxy_smoothed,R_eff_smoothed
2023-03-21,France,67813000,0.0,38533835.0,0.0,165701.0,54668864.0,53180009.0,47621776.0,2796.0,,,761.0,13434.0,6615.0,23.285714285714285,0.7777777777777778,0.0,0.0,56823.669502897676,244.34990341085043,4.123103239791781,1.1222037072537714,19.810360845265656,56.82366950289768,0.24434990341085042,80.61708521964816,78.4215548641116,70.2251426717591,9.754766785129695,0.03433812732914675,67813000.0,6615.0,70163.42857142857,38507375.00000009,38437211.571428664,29305624.999999903,0.07142857142857142,2998.142857142855,30321.370923400595,True,0.26416405599751475,0.2444921786970158,0.2444921786970158,3.6982967839652066,1.5982318831137097,3.4228905017582214,1.4792140955360762
2023-03-22,France,67813000,0.0,38533835.0,0.0,165701.0,54669060.0,53180253.0,47623299.0,1963.0,,,761.0,13418.0,6615.0,23.285714285714285,0.7777777777777778,0.0,0.0,56823.669502897676,244.34990341085043,2.894725200182856,1.1222037072537714,19.786766549186733,56.82366950289768,0.24434990341085042,80.61737424977512,78.42191467712681,70.22738855381712,9.754766785129695,0.03433812732914675,67813000.0,6615.0,73161.57142857142,38513990.00000009,38440828.428571515,29299009.999999918,0.07142857142857142,2998.142857142855,31609.892098881075,True,0.26017075167574555,0.2501595661742213,0.2501595661742213,3.642390523460438,1.5737164905073113,3.5022339264390983,1.5131609991163657
2023-03-23,France,67813000,0.0,38533835.0,0.0,165701.0,54669226.0,53180495.0,47625310.0,2418.0,,,739.0,13025.0,6615.0,23.285714285714285,0.7777777777777778,0.0,0.0,56823.669502897676,244.34990341085043,3.565687994927227,1.0897615501452524,19.20723165174819,56.82366950289768,0.24434990341085042,80.61761904059694,78.422271540855,70.23035406190553,9.754766785129695,0.03433812732914675,67813000.0,6615.0,76159.71428571428,38520605.00000009,38444445.28571437,29292394.99999991,0.07142857142857142,2998.142857142855,32897.82835067434,True,0.25649481658890794,0.2554816988176059,0.2554816988176059,3.5909274322447113,1.5511312692499595,3.576743783446483,1.5450045230045644
2023-03-24,France,67813000,0.0,38533835.0,0.0,165701.0,54669467.0,53180889.0,47628023.0,3348.0,,,751.0,13103.0,6615.0,23.285714285714285,0.7777777777777778,0.0,0.0,56823.669502897676,244.34990341085043,4.9371064545146215,1.1074572722044447,19.32225384513294,56.82366950289768,0.24434990341085042,80.61797442968162,78.42285255039594,70.23435476973442,9.754766785129695,0.03433812732914675,67813000.0,6615.0,79157.85714285713,38527220.00000009,38448062.14285723,29285779.999999918,0.07142857142857142,2998.1428571428623,34185.17967878041,True,0.2531001911209719,0.2604903427741826,0.2604903427741826,3.5434026756936063,1.530256900767906,3.6468647988385565,1.5749381414851125
2023-03-25,France,67813000,0.0,38533835.0,0.0,165701.0,54669596.0,53181061.0,47628952.0,1230.0,,,744.0,13038.0,6615.0,23.285714285714285,0.7777777777777778,0.0,0.0,56823.669502897676,244.34990341085043,1.8138115110671995,1.0971347676699157,19.226402017312314,56.82366950289768,0.24434990341085042,80.61816465869376,78.4231061890788,70.2357247135505,9.754766785129695,0.03433812732914675,67813000.0,6615.0,82156.0,38533835.00000009,38451679.00000009,29279164.99999991,0.07142857142857142,2837.7857142857174,35471.94608319928,True,0.24543540430940505,0.26016616502884715,0.26016616502884715,3.436095660331671,1.4835800185013883,3.64232631040386,1.572622845562879
2023-03-26,France,67813000,54593.0,38588428.0,168.0,165869.0,54669606.0,53181079.0,47629009.0,85.0,,,746.0,13036.0,7799.0,24.0,0.7777777777777778,80.50521286478994,0.24774010882869066,56904.17471576247,244.59764351967914,0.12534469791927802,1.1000840546797812,19.223452730302448,56.904174715762466,0.24459764351967914,80.61817940512881,78.42313273266188,70.23580876823029,11.500744694969992,0.03539144411838438,67813000.0,7799.0,84833.42857142857,38541634.00000009,38456800.571428664,29271365.999999903,0.07142857142857142,2677.4285714285725,36618.205015987114,True,0.2385960529703465,0.25521121434174276,0.25521121434174276,3.3403447415848513,1.4418541208485878,3.572957000784399,1.5422608065153007
2023-03-27,France,67813000,0.0,38588428.0,0.0,165869.0,54669836.0,53181336.0,47630415.0,1892.0,,,728.0,13113.0,7799.0,24.0,0.7777777777777778,0.0,0.0,56904.17471576247,244.59764351967914,2.7900255113326353,1.0735404715909929,19.337000280182266,56.904174715762466,0.24459764351967914,80.61851857313495,78.42351171604265,70.23788211699822,11.500744694969992,0.03539144411838438,67813000.0,7799.0,87510.85714285714,38549433.00000009,38461922.14285723,29263566.999999918,0.07142857142857142,2677.4285714285725,37763.84810032621,True,0.23642198903865227,0.2506261802430777,0.2506261802430777,3.3099078465411322,1.4283354228699787,3.508766523403088,1.5141495619566019
2023-03-28,France,67813000,0.0,38588428.0,0.0,165869.0,54670022.0,53181587.0,47632601.0,2622.0,,,720.0,13178.0,7799.0,24.0,0.7777777777777778,0.0,0.0,56904.17471576247,244.59764351967914,3.866515269933494,1.0617433235515314,19.43285210800289,56.904174715762466,0.24459764351967914,80.61879285682686,78.42388185156238,70.2411056877,11.500744694969992,0.03539144411838438,67813000.0,7799.0,90188.28571428571,38557232.00000009,38467043.714285806,29255767.99999991,0.07142857142857142,2677.428571428565,38908.87533621649,True,0.23437966018779838,0.24637126655597538,0.24637126655597538,3.2813152426291774,1.4156193867432887,3.4491977317836557,1.4880469618979923
2023-03-29,France,67813000,0.0,38588428.0,0.0,165869.0,54670194.0,53181842.0,47634018.0,1842.0,,,734.0,13184.0,7799.0,24.0,0.7777777777777778,0.0,0.0,56904.17471576247,244.59764351967914,2.716293336086001,1.082388332620589,19.441699969032488,56.904174715762466,0.24459764351967914,80.6190464955097,78.42425788565615,70.24319525754649,11.500744694969992,0.03539144411838438,67813000.0,7799.0,92865.71428571428,38565031.00000009,38472165.28571437,29247968.99999991,0.07142857142857142,2677.4285714285725,40053.286723658,True,0.23245767424253694,0.24241225549408843,0.24241225549408843,3.2544074393955174,1.4036365873919334,3.393771576917238,1.4637447963481367
2023-03-30,France,67813000,0.0,38588428.0,0.0,165869.0,54670387.0,53182083.0,47635958.0,2374.0,,,732.0,13186.0,7799.0,24.0,0.7777777777777778,0.0,0.0,56904.17471576247,244.59764351967914,3.500803680710188,1.0794390456107235,19.444649256042354,56.904174715762466,0.24459764351967914,80.61933110170617,78.42461327474084,70.24605606594606,11.500744694969992,0.03539144411838438,67813000.0,7799.0,95543.14285714286,38572830.00000009,38477286.85714295,29240169.999999903,0.07142857142857142,2677.4285714285725,41197.08226265072,True,0.23064591601247114,0.2387195554117403,0.2387195554117403,3.2290428241745963,1.392325381802088,3.3420737757643644,1.4410630020186628
